조사번호	조사지역	주구분	조사일자	시간대	X좌표	Y좌표	행정구역명	날씨	남자10대	남자20대	남자30대	남자40대	남자50대	여자10대	여자20대	여자30대	여자40대	여자50대
2891	A 지점 - 인천나누리병원 (앞)	주중	2010-07-01	12시~13시까지	287966	544909	인천광역시 부평구 부평5동	흐림	3	42	32	77	70	2	51	92	131	62
2891	A 지점 - 인천나누리병원 (앞)	주중	2010-07-01	19시~20시까지	287966	544909	인천광역시 부평구 부평5동	흐림	57	58	48	65	35	55	69	66	109	37
2891	A 지점 - 인천나누리병원 (앞)	주말	2010-06-26	12시~13시까지	287966	544909	인천광역시 부평구 부평5동	흐림	55	45	33	48	49	30	31	63	57	82
2891	A 지점 - 인천나누리병원 (앞)	주말	2010-06-26	19시~20시까지	287966	544909	인천광역시 부평구 부평5동	흐림	33	32	31	42	23	38	54	65	73	35
2892	B 지점 - 신한은행 [부평금융센터] (앞)	주중	2010-07-01	12시~13시까지	287871	544777	인천광역시 부평구 부평5동	흐림	21	29	48	55	22	9	18	65	89	57
2892	B 지점 - 신한은행 [부평금융센터] (앞)	주중	2010-07-01	19시~20시까지	287871	544777	인천광역시 부평구 부평5동	흐림	29	54	68	80	32	9	71	77	73	45
2892	B 지점 - 신한은행 [부평금융센터] (앞)	주말	2010-06-26	12시~13시까지	287871	544777	인천광역시 부평구 부평5동	흐림	33	27	35	27	26	15	25	32	48	37
2892	B 지점 - 신한은행 [부평금융센터] (앞)	주말	2010-06-26	19시~20시까지	287871	544777	인천광역시 부평구 부평5동	흐림	25	37	33	39	18	21	46	52	51	29
2893	A지점 - 새시장약국 (앞)	주중	2010-07-06	12시~13시까지	287525	544438	인천광역시 부평구 부평5동	맑음	4	25	57	121	97	15	40	235	322	251
2893	A지점 - 새시장약국 (앞)	주중	2010-07-06	19시~20시까지	287525	544438	인천광역시 부평구 부평5동	맑음	10	46	54	85	69	33	129	188	253	138
2893	A지점 - 새시장약국 (앞)	주말	2010-07-10	12시~13시까지	287525	544438	인천광역시 부평구 부평5동	흐림	10	35	49	105	85	25	58	195	185	162
2893	A지점 - 새시장약국 (앞)	주말	2010-07-10	19시~20시까지	287525	544438	인천광역시 부평구 부평5동	흐림	7	21	54	135	101	35	75	205	288	175
2894	B지점 - 나이키 [부평점] (앞)	주중	2010-07-06	12시~13시까지	287362	544150	인천광역시 부평구 부평1동	맑음	10	321	19	17	15	11	550	18	20	9
2894	B지점 - 나이키 [부평점] (앞)	주중	2010-07-06	19시~20시까지	287362	544150	인천광역시 부평구 부평1동	맑음	120	694	142	52	21	155	1101	153	45	25
2894	B지점 - 나이키 [부평점] (앞)	주말	2010-07-10	12시~13시까지	287362	544150	인천광역시 부평구 부평1동	흐림	54	165	53	20	15	84	205	98	95	18
2894	B지점 - 나이키 [부평점] (앞)	주말	2010-07-10	19시~20시까지	287362	544150	인천광역시 부평구 부평1동	흐림	110	210	90	35	20	175	281	155	117	23
2895	A 지점 - 부평세림병원 (앞)	주말	2010-07-03	12시~13시까지	287100	545735	인천광역시 부평구 부평4동	흐림	38	42	34	39	32	29	88	49	54	41
2895	A 지점 - 부평세림병원 (앞)	주말	2010-07-03	19시~20시까지	287100	545735	인천광역시 부평구 부평4동	흐림	5	53	59	73	15	4	95	65	90	23
2896	B지점 - 놀부보쌈과 돌솥밥 (부평구청점) 앞	주말	2010-07-03	12시~13시까지	287149	545656	인천광역시 부평구 부평4동	흐림	15	34	20	18	15	12	45	25	23	16
2896	B지점 - 놀부보쌈과 돌솥밥 (부평구청점) 앞	주말	2010-07-03	19시~20시까지	287149	545656	인천광역시 부평구 부평4동	흐림	45	115	48	53	18	20	54	32	24	5
2897	롯데리아 [인천백운점] - B지점	주중	2010-06-09	12시~13시까지	285985	543601	인천광역시 부평구 부평3동	맑음	34	119	69	87	98	9	145	78	125	109
2897	롯데리아 [인천백운점] - B지점	주중	2010-06-09	19시~20시까지	285985	543601	인천광역시 부평구 부평3동	맑음	120	127	75	135	90	155	165	159	195	93
2897	롯데리아 [인천백운점] - B지점	주말	2010-06-19	12시~13시까지	285985	543601	인천광역시 부평구 부평3동	흐림	95	75	68	71	113	87	65	113	105	83
2897	롯데리아 [인천백운점] - B지점	주말	2010-06-19	19시~20시까지	285985	543601	인천광역시 부평구 부평3동	흐림	111	154	88	75	101	20	87	45	103	56
2904	 A지점(인천 서부 새마을금고 앞)	주중	2010-06-09	12시~13시까지	282934	545390	인천광역시 서구 석남동	맑음	3	21	21	33	60	6	48	138	138	78
2904	 A지점(인천 서부 새마을금고 앞)	주중	2010-06-09	19시~20시까지	282934	545390	인천광역시 서구 석남동	맑음	12	57	18	48	24	9	72	114	123	24
2904	 A지점(인천 서부 새마을금고 앞)	주말	2010-07-03	12시~13시까지	282934	545390	인천광역시 서구 석남동	맑음	21	30	33	69	54	33	63	99	114	81
2904	 A지점(인천 서부 새마을금고 앞)	주말	2010-07-03	19시~20시까지	282934	545390	인천광역시 서구 석남동	맑음	99	33	33	84	42	78	45	114	99	51
2905	B지점(석남동 거북시장 576-3번지 앞)	주중	2010-06-09	12시~13시까지	282794	545305	인천광역시 서구 석남동	맑음	12	57	18	48	24	9	72	114	123	24
2905	B지점(석남동 거북시장 576-3번지 앞)	주중	2010-06-09	19시~20시까지	282794	545305	인천광역시 서구 석남동	맑음	69	51	42	87	54	45	90	171	66	36
2905	B지점(석남동 거북시장 576-3번지 앞)	주말	2010-07-03	12시~13시까지	282794	545305	인천광역시 서구 석남동	맑음	99	33	33	84	42	78	45	114	99	51
2905	B지점(석남동 거북시장 576-3번지 앞)	주말	2010-07-03	19시~20시까지	282794	545305	인천광역시 서구 석남동	맑음	114	54	75	108	21	108	66	123	135	48
2913	A지점(석남동538-22번지 T-World앞)	주중	2010-06-23	12시~13시까지	282795	545697	인천광역시 서구 석남1동	맑음	0	9	33	27	30	12	21	45	30	24
2913	A지점(석남동538-22번지 T-World앞)	주중	2010-06-23	19시~20시까지	282795	545697	인천광역시 서구 석남1동	맑음	69	30	42	33	9	45	75	99	75	30
2913	A지점(석남동538-22번지 T-World앞)	주말	2010-06-26	12시~13시까지	282795	545697	인천광역시 서구 석남1동	맑음	48	36	39	45	39	42	24	60	27	33
2913	A지점(석남동538-22번지 T-World앞)	주말	2010-06-26	19시~20시까지	282795	545697	인천광역시 서구 석남1동	맑음	33	42	72	84	36	39	51	93	39	9
2917	B지점(석남동519-4번지 K-25편의점 앞)	주중	2010-06-23	12시~13시까지	282512	545768	인천광역시 서구 석남동	맑음	21	12	36	45	15	15	21	75	15	3
2917	B지점(석남동519-4번지 K-25편의점 앞)	주중	2010-06-23	19시~20시까지	282512	545768	인천광역시 서구 석남동	맑음	39	27	39	69	21	27	42	96	72	3
2917	B지점(석남동519-4번지 K-25편의점 앞)	주말	2010-06-26	12시~13시까지	282512	545768	인천광역시 서구 석남동	맑음	45	18	24	45	27	42	36	75	48	12
2917	B지점(석남동519-4번지 K-25편의점 앞)	주말	2010-06-26	19시~20시까지	282512	545768	인천광역시 서구 석남동	맑음	9	48	105	102	33	27	24	75	45	15
2945	A지점 : 지하상가 가42호(bavi phat)앞 지점	주중	2010-07-01	12시~13시까지	287370	544017	인천광역시 부평구 부평1동	맑음	275	323	228	76	48	284	334	236	79	49
2945	A지점 : 지하상가 가42호(bavi phat)앞 지점	주중	2010-07-01	19시~20시까지	287370	544017	인천광역시 부평구 부평1동	맑음	280	319	205	85	45	295	325	212	70	52
2945	A지점 : 지하상가 가42호(bavi phat)앞 지점	주말	2010-07-10	12시~13시까지	287370	544017	인천광역시 부평구 부평1동	흐림	825	969	684	228	144	852	1002	708	237	147
2945	A지점 : 지하상가 가42호(bavi phat)앞 지점	주말	2010-07-10	19시~20시까지	287370	544017	인천광역시 부평구 부평1동	흐림	667	958	615	195	135	701	975	636	210	156
3014	A지점 - 본죽 [백운역점] (앞)	주중	2010-06-09	12시~13시까지	286240	543924	인천광역시 부평구 산곡3동	맑음	7	15	10	19	15	5	23	45	51	37
3014	A지점 - 본죽 [백운역점] (앞)	주중	2010-06-09	19시~20시까지	286240	543924	인천광역시 부평구 산곡3동	맑음	65	85	49	54	41	57	147	155	167	52
3014	A지점 - 본죽 [백운역점] (앞)	주말	2010-06-19	12시~13시까지	286240	543924	인천광역시 부평구 산곡3동	흐림	67	40	50	45	48	30	64	75	42	69
3014	A지점 - 본죽 [백운역점] (앞)	주말	2010-06-19	19시~20시까지	286240	543924	인천광역시 부평구 산곡3동	흐림	37	145	46	109	37	22	202	154	163	49
3016	B지점 - 롯데리아 [인천 백운점] (앞)	주중	2010-06-09	12시~13시까지	285987	543596	인천광역시 부평구 부평3동	맑음	34	119	69	87	98	9	145	78	125	109
3016	B지점 - 롯데리아 [인천 백운점] (앞)	주중	2010-06-09	19시~20시까지	285987	543596	인천광역시 부평구 부평3동	맑음	120	127	75	135	90	155	165	159	195	93
3016	B지점 - 롯데리아 [인천 백운점] (앞)	주말	2010-06-19	12시~13시까지	285987	543596	인천광역시 부평구 부평3동	흐림	95	75	68	71	113	87	65	115	105	83
3016	B지점 - 롯데리아 [인천 백운점] (앞)	주말	2010-06-19	19시~20시까지	285987	543596	인천광역시 부평구 부평3동	흐림	111	154	88	75	101	20	87	45	103	56
3034	북부우체국 앞(버스 정류장 옆 지하도) 지점	주중	2010-06-17	12시~13시까지	287083	544023	인천광역시 부평구 부평1동	맑음	63	135	60	24	78	81	162	60	63	81
3034	북부우체국 앞(버스 정류장 옆 지하도) 지점	주중	2010-06-17	19시~20시까지	287083	544023	인천광역시 부평구 부평1동	맑음	224	247	186	218	127	236	256	199	235	151
3034	북부우체국 앞(버스 정류장 옆 지하도) 지점	주말	2010-07-10	12시~13시까지	287083	544023	인천광역시 부평구 부평1동	맑음	93	174	72	54	54	171	192	103	63	39
3034	북부우체국 앞(버스 정류장 옆 지하도) 지점	주말	2010-07-10	19시~20시까지	287083	544023	인천광역시 부평구 부평1동	맑음	102	191	86	60	60	188	212	115	69	42
3035	 류병훈 성형외과 앞 (부평농협 옆) 지점	주중	2010-06-17	12시~13시까지	287246	544272	인천광역시 부평구 부평1동	맑음	72	57	36	63	66	99	96	114	147	81
